x1,x2,x3,x4,x5,y
125,256,16,128,198,199
29,32,8,32,269,253
29,32,8,32,220,253
29,32,8,32,172,253
29,32,8,16,132,132
26,64,8,32,318,290
23,64,16,32,367,381
23,64,16,32,489,381
23,64,16,32,636,749
23,128,32,64,1144,1238
400,0,1,2,38,23
400,4,1,6,40,24
60,65,1,8,92,70
50,65,1,8,138,117
350,0,1,4,10,15
200,0,4,32,35,64
167,8,4,15,19,23
143,0,7,32,28,29
143,0,5,16,31,22
110,142,8,64,120,124
143,0,5,32,30,35
143,0,5,20,33,39
143,0,6,64,61,40
110,0,6,64,76,45
320,0,1,12,23,28
320,4,1,3,69,21
320,0,1,6,33,28
320,4,1,3,27,22
320,4,1,5,77,28
320,4,1,6,27,27
25,131,12,24,274,102
25,131,12,24,368,102
50,30,12,24,32,74
50,30,12,24,63,74
56,30,12,24,106,138
64,30,12,24,208,136
50,8,1,4,20,23
50,8,1,5,29,29
50,8,1,5,71,44
50,8,3,5,26,30
50,8,3,5,36,41
50,8,3,5,40,74
50,8,3,6,52,74
50,8,3,6,60,74
133,9,3,12,72,54
133,9,3,12,72,41
810,8,1,1,18,18
810,0,1,1,20,28
320,4,1,5,40,36
200,8,1,8,62,38
700,0,1,1,24,34
700,0,1,1,24,19
140,16,1,3,138,72
200,0,1,2,36,36
110,16,1,2,26,30
110,16,1,2,60,56
220,16,1,2,71,42
800,0,1,4,12,34
800,0,1,4,14,34
800,0,1,4,20,34
800,0,1,4,16,34
800,0,1,4,22,34
125,0,8,20,36,19
75,64,1,38,144,75
75,64,1,38,144,113
75,128,1,38,259,157
90,0,3,10,17,18
105,0,3,10,26,20
105,0,3,24,32,28
105,8,3,19,32,33
75,8,3,24,62,47
75,8,3,48,64,54
175,0,3,24,22,20
300,0,6,24,36,23
300,6,6,24,44,25
300,6,6,24,50,52
300,0,1,24,45,27
300,6,1,24,53,50
300,6,6,24,36,18
180,6,1,31,84,53
330,0,2,4,16,23
300,8,3,64,38,30
300,8,2,112,38,73
330,0,1,2,16,20
330,0,3,6,22,25
140,0,3,6,29,28
140,0,4,8,40,29
140,8,1,20,35,32
140,32,1,20,134,175
140,32,1,54,66,57
140,32,1,54,141,181
140,32,1,54,189,181
140,8,1,20,22,32
57,1,6,12,132,82
57,64,12,16,237,171
26,64,16,24,465,361
26,64,8,24,465,350
26,0,8,24,277,220
26,0,8,16,185,113
480,0,1,1,6,15
203,0,1,5,24,21
115,16,1,6,45,35
1100,0,1,1,7,18
1100,0,1,1,13,20
600,0,1,1,16,20
400,0,1,1,32,28
400,0,1,1,32,45
900,0,1,2,11,18
900,0,1,2,11,17
900,4,1,2,18,26
900,8,1,2,22,28
900,0,3,6,37,28
225,8,3,6,40,31
225,8,3,6,34,31
180,8,1,6,50,42
185,16,1,6,76,76
180,16,1,6,66,76
225,2,3,6,24,26
25,8,1,4,49,59
25,16,3,5,66,65
17,8,6,12,100,101
17,32,6,12,133,116
1500,0,0,0,12,18
1500,0,0,0,18,20
800,0,0,0,20,20
50,0,3,6,27,30
50,8,3,6,45,44
50,8,1,6,56,44
50,24,1,6,70,82
50,24,1,6,80,82
50,48,1,10,136,128
100,0,2,6,16,37
100,24,2,6,26,46
100,24,3,6,32,46
50,12,3,16,45,80
50,24,6,16,54,88
50,24,6,16,65,88
150,0,8,128,30,33
115,16,1,3,50,46
115,2,1,5,40,29
92,32,1,6,62,53
92,32,1,6,60,53
92,4,1,6,50,41
75,16,1,6,66,86
60,32,1,6,86,95
60,64,5,8,74,107
60,64,5,8,93,117
50,64,5,10,111,119
72,64,8,16,143,120
72,16,6,8,105,48
40,32,8,16,214,126
40,64,8,24,277,266
35,64,8,24,370,270
38,128,16,32,510,426
48,32,8,24,214,151
38,64,8,24,326,267
30,256,16,24,510,603
112,0,1,4,8,19
84,0,1,6,12,21
56,0,1,6,17,26
56,0,1,8,21,35
56,0,1,8,24,41
56,0,1,8,34,47
56,0,1,8,42,62
56,0,1,8,46,78
38,32,16,32,51,80
38,32,16,32,116,80
38,64,4,8,100,142
38,160,4,8,140,281
38,128,16,32,212,190
200,0,1,2,25,21
200,0,1,4,30,25
200,64,1,5,41,67
250,0,1,7,25,24
250,0,4,7,50,24
250,1,1,8,50,64
160,2,1,5,30,25
160,2,3,8,32,20
160,8,1,14,38,29
160,16,1,14,60,43
160,32,1,13,109,53
240,8,1,3,6,19
240,8,1,5,11,22
105,8,3,8,22,31
105,16,6,16,33,41
105,16,4,14,58,47
52,32,4,12,130,99
70,8,6,8,75,67
59,32,6,12,113,81
59,64,12,24,188,149
26,32,8,16,173,183
26,64,12,16,248,275
26,128,24,32,405,382
116,32,5,28,70,56
50,24,6,26,114,182
50,48,26,52,208,227
50,112,52,104,307,341
50,112,52,104,397,360
30,96,12,176,915,919
30,128,12,176,1150,978